itemLabel,altLabel_list
ropinirol,Requip®|Ropinirol|Ropinirole|Ropinirolum|SK&F-101468-A|SK&F-101468A
tigecycline,"(4S,4AS,5ar,12as)-9-(2-(tert-butylamino)acetamido)-4,7-bis(dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,10,12,12a-tetrahydroxy-1,11-dioxo-2-naphthacenecarboxamide|Tigeciclina|Tigecycline|Tigecyclinum|WAY-GAR-936"
proguanil,1-(P-Chlorophenyl)-5-isopropylbiguanide|Chlorguanide|Chloroguanide|N-(4-Chlorophenyl)-n'-(isopropyl)-imidodicarbonimidic diamide|Proguanil|Proguanilum
glyburide,1-((p-(2-(5-chloro-o-anisamido)ethyl)phenyl)sulfonyl)-3-cyclohexylurea|1-(p-(2-(5-chloro-2-methoxybenzamido)ethyl)benzenesulfonyl)-3-cyclohexylurea|5-chloro-N-(2-(4-((((cyclohexylamino)carbonyl)amino)sulfonyl)phenyl)ethyl)-2-methoxybenzamide|Diabeta®|Glibenclamida|Glibenclamide|Glibenclamidum|Glyburide|Glynase®
safinamide,EMD 1195686|EMD-1195686|Safinamide|Xadago|Xadago®
Ocriplasmin,microplasmin
satraplatin,Bis-acetatoamminedichlorocyclohexylamine platinum(IV)|BMY 45594|BMY-45594|JM-216|JM216|Satraplatin
levocabastine,Levocabastin|Levocabastina|Levocabastine|Levocabastinum|levocobastine|Livostin®|LIV121
nateglinide,(-)-N-(trans-4-isopropylcyclohexanecarbonyl)-D-phenylalanine|A 4166|A-4166|AY 4166|AY-4166|AY4166|Nateglinide|SDZ-DJN-608|Starlix®|trans-N-{[4-(1-methylethyl)cyclohexyl]carbonyl}-D-phenylalanine|DJN608
clotiazepam,Rize|Clotiazepam|Clotiazepamum
Dextropropoxyphene,"propoxyphene|Propoxyphene|(+)-1,2-Diphenyl-2-propionoxy-3-methyl-4-dimethylaminobutane|(+)-4-Dimethylamino-1,2-diphenyl-3-methyl-2-propionyloxybutane|(+)-alpha-propoxyphene|(S)-alpha-(2-(Dimethylamino)-1-methylethyl)-alpha-phenylbenzeneethanol propanoate|4-Dimethylamino-3-methyl-1,2-diphenyl-2-propoxybutane|alpha-(+)-4-Dimethylamino-1,2-diphenyl-3-methyl-2-butanol propionate ester|alpha-D-4-Dimethylamino-3-methyl-1,2-diphenyl-2-butanol-propionat|d-Propoxyphene|Darvon®|Destropropossifene|Dextropropoxifeno|Dextropropoxyphen|Dextropropoxyphène|Dextropropoxyphenum"
moexipril,Moexipril|Moexiprilum|RS-10085|SPM-925|Univasc®
felodipine,"(+-)-ethyl methyl 4-(2,3-dichlorophenyl)-1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate|(+-)-Ethyl methyl 4-(2,3-dichlorophenyl)-1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate|3-ethyl 5-methyl 4-(2,3-dichlorophenyl)-2,6-dimethyl-1,4-dihydro-3,5-pyridinedicarboxylate|3-Ethyl 5-methyl 4-(2,3-dichlorophenyl)-2,6-dimethyl-1,4-dihydro-3,5-pyridinedicarboxylate|4-(2,3-dichlorophenyl)-1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylic acid ethyl methyl ester|4-(2,3-Dichlorophenyl)-1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylic acid ethyl methyl ester|Felodipina|Felodipine|Felodipinum|Plandil®|Renedil®"
guanethidine,"(2-(hexahydro-1(2h)-azocinyl)ethyl)guanidine|(2-(Octahydro-1-azocinyl)ethyl)guanidine|2-(1-N,N-Heptamethyleneimino)ethylguanidine|2-(1'-Azacyclooctyl)ethylguanidine|Azocine, 1-(2-guanidinoethyl)octahydro-|Guanethidine|guanéthidine|guanethidinum|guanetidina|Guanidine, (2-(hexahydro-1(2H)-azocinyl)ethyl)-|Heptamethylenimine, 1-(2-guanidinoethyl)-|Ismelin®|N-(2-Perhydroazocin-1-ylethyl)guanidine|SU-5864"
guaifenesin,glyceryl guaiacolate|Glyceryl guaiacolate|Guaifenesin|Guaifenesin or Guaiphenesin|guaiphenesin|Hustosil|Mucinex®
rasagiline,RAS|(1R)-N-propargylindan-1-amine|(1R)-N-Propargylindan-1-amine|(R)-indan-1-yl-prop-2-ynyl-amine|(R)-Indan-1-yl-prop-2-ynyl-amine|(R)-N-2-Propynyl-1-indanamine|Azilect®|Rasagiline|TVP-1012
podofilox,"PPT|(-)-Podophyllotoxin|6,7]naphtho[2,3-D][1,3]dioxol-6(5ah)-one|9-HYDROXY-5-(3,4,5-trimethoxyphenyl)-5,8,8a,9-tetrahydrofuro[3',4'|9-HYDROXY-5-(3,4,5-trimethoxyphenyl)-5,8,8a,9-tetrahydrofuro[3',4':6,7]naphtho[2,3-D][1,3]dioxol-6(5ah)-one|Condylox|Podofilox|Podophyllinic acid lactone|Podophyllotoxin|Podophyllotoxin 7"
fondaparinux sodium,Fondaparinux Sodium|ORG-31540|SR-90107A
vecuronium,Norcuron®|ORG NC 45 / ORG-NC 45|Vecuronium
auranofin,"(1-Thio-beta-D-glucopyranosato)(triethylphosphine)gold 2,3,4,6-tetraacetate|2,3,4,6-Tetra-O-acetyl-1-thio-beta-D-glucopyranosato-S (triethylphosphine)gold|Auranofin|Auranofina|Auranofine|Auranofinum|Ridaura®|SK-39162|SK&F-39162|Triethylphosphine gold"
D-penicillamine,"PA|(-)-penicillamine|(−)-penicillamine|(S)-2-amino-3-mercapto-3-methylbutanoic acid|(S)-3,3-dimethylcysteine|3-mercapto-D-valine|D-(-)-penicillamine|D-(−)-penicillamine|D-beta,beta-dimethylcysteine|D-β,β-dimethylcysteine|penicillamine"
methacycline,6-Demethyl-6-deoxy-5-hydroxy-6-methylenetetracycline|6-Deoxy-6-demethyl-6-methylene-5-oxytetracycline|6-Methylene-5-hydroxytetracycline|6-Methylene-5-oxytetracycline|6-Methyleneoxytetracycline|GS-2876|Metacycline|Methacyclin|Methacycline|Methacyclinum|Methylenecycline|Rondomycin|Tri-methacycline
esketamine,(-)-ketamine|(S)-(-)-ketamine|(S)-2-(o-chlorophenyl)-2-(methylamino)cyclohexanone|(S)-Ketamine|Ketanest|Spravato
tafenoquine,Tafenoquine
sulconazole,Sulconazole
chlorcyclizine,Chlorcyclizin|Chlorcyclizine|Chlorcyclizinum|Clorciclizina
bimatoprost,"(Z)-7-((1R,2R,3R,5S)-3,5-Dihydroxy-2-((1e,3S)-3-hydroxy-5-phenyl-1-pentenyl)cyclopentyl)-N-ethyl-5-heptenamide|(Z)-7-((1R,2R,3R,5S)-3,5-Dihydroxy-2-((1E,3S)-3-hydroxy-5-phenyl-1-pentenyl)cyclopentyl)-N-ethyl-5-heptenamide|AGN 192024|Bimatoprost|Bimatoprostum|LS-181817|Lumigan®"
etryptamine,3-(2-aminobutyl)indole|alpha-ethyltryptamine|Etryptamine|α-ethyltryptamine|αET
ketazolam,Ketazolam|U-28774
iodixanol,"2-541O-3A|5,5'-((2-Hydroxytrimethylene)bis(acetylimino))bis(N,n'-bis(2,3-dihydroxypropyl)-2,4,6-triiodoisophthalamide)|Indixanol|Iodixanol|Iodixanolum|Visipaque|Visipaque 270|Visipaque 320"
desvenlafaxine,ODV|1-[2-(dimethylamino)-1-(4-hydroxyphenyl)ethyl]cyclohexanol|4-[2-(dimethylamino)-1-(1-hydroxycyclohexyl)ethyl]phenol|Desvenlafaxine|O-desmethylvenlafaxine|O-desmethylvenlafaxine (ODV)|Pristiq®|WY-45233
cangrelor,"[dichloro-[[[(2R,3S,4R,5R)-3,4-dihydroxy-5-[6-(2-methylsulfanylethylamino)-2-(3,3,3-trifluoropropylsulfanyl)purin-9-yl]oxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]methyl]phosphonic acid|AR-C69931MX|ARL69931|Cangrelor|Kengreal®"
carbenicillin indanyl sodium,"Carbenicillin indanyl sodium|indanyl carbenicillin sodium salt|sodium (2S,5R,6R)-6-{[3-(2,3-dihydro-1H-inden-5-yloxy)-3-oxo-2-phenylpropanoyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate|sodium 5-indanylcarbenicillin|sodium 6beta-{2-[(2,3-dihydro-1H-inden-5-yloxy)carbonyl]-2-phenylacetamido}-2,2-dimethylpenam-3alpha-carboxylate"
Peginesatide,AF37702|Erythropoiesis-Stimulating Agent (ESA)|Hematide
cefditoren,CDTR-PI|Cefditoren|Cefditoren Pivaloyloxymethyl Ester|Cefditoren Pivoxil
Cevimeline,"2-Methyspiro(1,3-oxathiolane-5,3)quinuclidine|Cevimelina|Cevimelinum|Sni 2011"
cyclopenthiazide,cyclomethiazide|Cyclopenthiazide|SU-8341|NAX341
clinafloxacin,Clinafloxacin
mirabegron,Betmiga®|Mirabegron|Myrbetriq®|YM-178
debrisoquin,"1,2,3,4-tetrahydroisoquinoline-2-carboximidamide|3,4-Dihydro-2(1H)-isoquinolinecarboximidamide|Debrisochinum|Debrisoquin|Debrisoquin sulfate|Debrisoquin sulphate|Debrisoquina|Debrisoquine|Debrisoquinum|Isocaramidine"
decamethonium,"Decamethonium|DECAMETHONIUM ion|Decamethonum|Decamethylenebis(trimethylammonium)|N,N,N,N',n',n'-hexamethyl-1,10-decanediaminium|trimethyl-[10-(trimethylammonio)decyl]ammonium|trimethyl-[10-(trimethylazaniumyl)decyl]azanium"
delorazepam,Chlordesmethyldiazepam|CDDZ|Dadumir|Delorazepam
dichlorphenamide,"1,3-disulfamoyl-4,5-dichlorobenzene|1,3-disulfamyl-4,5-dichlorobenzene|1,3-Disulfamyl-4,5-dichlorobenzene|3,4-dichloro-5-sulfamylbenzenesulfonamide|3,4-Dichloro-5-sulfamylbenzenesulfonamide|4,5-dichloro-1,3-benzenedisulfonamide|4,5-Dichloro-1,3-benzenedisulfonamide|4,5-dichloro-1,3-disulfamoylbenzene|4,5-dichloro-benzene-1,3-disulfonic acid diamide|4,5-Dichloro-benzene-1,3-disulfonic acid diamide|4,5-dichloro-m-benzenedisulfonamide|4,5-DICHLOROBENZENE-1,3-disulfonamide|Daranide®|dichlofenamide|Dichlofenamide|Dichlorophenamide|Dichlorphenamide|Diclofenamida|Diclofenamide|DICLOFENAMIDE|Diclofenamidum|glauconide|Keveyis®"
lofexidine,"2-(alpha-(2,6-dichlorophenoxy)ethyl)2-imidazoline"
lonidamine,"1-(2,4-dichlorbenzyl)-indazole-3-carboxylic acid|DICA|diclondazolic acid|Doridamina|Lonidamin|lonidamina|Lonidamine|lonidaminum"
Loteprednol etabonate,loteprednol etabonate
madecassoside,Asiaticoside A
mafenide,4-(aminomethyl)benzenesulfonamide|4-Homosufanilamide|Bensulfamide|Mafenide|Maphenidum|Sulfamylon
Nafarelin,Synarel
nilutamide,"5,5-Dimethyl-3-(alpha,alpha,alpha-trifluoro-4-nitro-m-tolyl)hydantoin|Nilandron®|Nilutamida|Nilutamide|Nilutamidum"
nitisinone,"2-(alpha,alpha,alpha-Trifluoro-2-nitro-p-tuluoyl)-1,3-cyclohexanedione|Orfadin®|SC-0735"
regorafenib,BAY 73-4506|Regorafenib|Régorafénib|Regorafenibum|Stivarga®
paramethadione,isoethadione|Paradione®|Parametadiona|Parametadione|Paramethadione|Paramethadionum
Parnaparin,Parnaparin sodium
Pasireotide,SOM230|cyclo((4R)-4-(2-Aminoethylcarbamoyloxy)-L-prolyl-L-phenylglycyl-D-tryptophyl-L-lysyl-4-O-benzyl-L-tyrosyl-L- phenylalanyl-)|Pasireotida|Pasireotidum|SOM 230|SOM-230
pazufloxacin,Pazufloxacin
Plicamycin,A-2371|Aureolic acid|Mithracin|Mithramycin|Mithramycine|Mithramycinum|PA-144|Plicamycine|Plicamycinum
prulifloxacin,Prulifloxacin
dofetilide,beta-((p-Methanesulfonamidophenethyl)methylamino)methanesulfono-p-phenetidide|Dofetilida|Dofetilide|Dofetilidum|Tikosyn®|UK-68798
Elotuzumab,Empliciti
carbinoxamine,(+-)-carbinoxamine|(+-)-Carbinoxamine|{2-[(4-chloro-phenyl)-pyridin-2-yl-methoxy]-ethyl}-dimethyl-amine|2-(p-chloro-alpha-(2-(dimethylamino)ethoxy)benzyl)pyridine|2-(P-chloro-alpha-(2-(dimethylamino)Ethoxy)benzyl)pyridine|Carbinoxamin|Carbinoxamina|Carbinoxamine|carbinoxamine base|Carbinoxamine base|carbinoxamine maleate|Carbinoxaminum|Clistin®|paracarbinoxamine|Paracarbinoxamine
etonogestrel,3-keto-desogestrel|3-Ketodesogestrel|3-Oxodesogestrel|Etonogestrel|étonogestrel|Etonogestrelum|Implanon®|Nexplanon®|ORG-3236
phenacemide,Phenacemide|Phenurone®
fencamfamin,Fencamfamin|Fencamfamine|Fencamfaminum|Fencanfamina
fleroxacin,"6,8-difluoro-1-(2-fluoroethyl)-1,4-dihydro-7-(4-methyl-1-piperazinyl)-4-oxo-3-quinolinecarboxylic acid-|AM-833|Fleroxacin|Fleroxacine|Fleroxacino|Fleroxacinum|Fleroxicin|FLRX|Megalocin|Megalocin (TN)|Megalone|Megalone (TN)|Megalosin|Quinodis|Ro-236240|Ro-236240000"
flunisolide,AeroBid®|Flunisolida|Flunisolide|flunisolide anhydrous|Flunisolide anhydrous|Flunisolidum|RS-3999
triflusal,SID11112328|Triflusal
Dolasetron,Anzemet Cinv|Dolasétron|Dolasetronum
interferon beta-1b,Fibroblast interferon|IFN-beta|Interferon beta precursor|Betaseron|IFN beta 1b
Besilesomab,Scintimun
masitinib,AB 1010|AB-1010|AB1010|Masican® (proposed trade name)|Masitinib
NPH insulin,"Insulin, isophane|Isophane Insulin|NPH|NPH Iletin|NPH Insulin"
bevantolol,"(+-)-Bevantolol|1-((2-(3,4-Dimethoxyphenyl)ethyl)amino)-3-(3-methylphenoxy)-2-propanol|1-(3,4-Dimethoxyphenethylamino)-3-(m-tolyloxy)-2-propanol|1-(3,4-Dimethoxyphenethylamino)-3-m-tolyloxy-propan-2-ol|1-[2-(3,4-Dimethoxy-phenyl)-ethylamino]-3-m-tolyloxy-propan-2-ol|Bevantolol|Bevantololum"
bromopride,4-amino-5-bromo-N-[2-(diethylamino)ethyl]-2-methoxybenzamide|Bromoprid|Bromoprida|Bromopride|Bromopridum
etodolac,"(+-)-1,8-diethyl-1,3,4,9-tetrahydropyrano(3,4-b)indole-1-acetic acid|(+-)-1,8-Diethyl-1,3,4,9-tetrahydropyrano(3,4-b)indole-1-acetic acid|(1,8-Diethyl-1,3,4,9-tetrahydro-pyrano[3,4-b]indol-1-yl)-acetic acid|1,3,4,9-tetrahydro-1,8-diethylpyrano(3,4-b)indole-1-acetic acid|1,3,4,9-Tetrahydro-1,8-diethylpyrano(3,4-b)indole-1-acetic acid|1,8-diethyl-1,3,4,9-tetrahydropyrano(3,4-b)indole-1-acetic acid|1,8-Diethyl-1,3,4,9-tetrahydropyrano(3,4-b)indole-1-acetic acid|1,8-diethyl-1,3,4,9-tetrahydropyrano[3,4-b]indol-1-ylacetic acid|1,8-Diethyl-1,3,4,9-tetrahydropyrano[3,4-b]indol-1-ylacetic acid|AY-24236|Etodolac|Étodolac|Etodolaco|Etodolacum|Etodolic acid|Etodolsäure|Lodine®"
furazolidone,3-(5'-Nitrofurfuralamino)-2-oxazolidone|3-[(5-Nitrofurfurylidene)amino]-2-oxazolidinone|3-[(5-Nitrofurfurylidene)amino]-2-oxazolidone|3-[(5-Nitrofurylidene)amino]-2-oxazolidone|3-{[(5-nitro-2-furanyl)methylene]amino}-2-oxazolidinone|5-Nitro-N-(2-oxo-3-oxazolidinyl)-2-furanmethanimine|Furall|Furazolidona|Furazolidone|Furazolidonum|Furoxone|FZL|N-(5-Nitro-2-furfurylidene)-3-amino-2-oxazolidone|N-(5-Nitro-2-furfurylidene)-3-aminooxazolidine-2-one|Nitrofurazolidone|Nitrofurazolidonum
ketobemidone,Cetobemidona|Cetobemidone|Cetobemidonum|Cliradon|Cymidon|Ketobemidone|Ketodur|Ketogan|Ketorax
bromfenac,[2-Amino-3-(4-bromo-benzoyl)-phenyl]-acetic acid|2-amino-3-(4-bromobenzoyl)benzeneacetic acid|2-amino-3-(4-Bromobenzoyl)benzeneacetic acid|AHR-10282B|Bromday®|Bromfenac|Bromfenaco|Bromfenacum|Prolensa®|Xibrom®
salicylamide,OHB|2-Carbamoylphenol|2-Carboxamidophenol|2-Hydroxybenzamide|o-hydroxybenzamide|Salicilamida|Salicylamide|Salicylamidum|Salicylic acid amide
indenolol,4-(2-hydroxy-3-isopropylaminopropoxy)indene|Indenolol|SCH-28316Z
Capromab,Capromab pendetide|In 111 Capromab pendetide|Indium (111In) capromab pendetide|Indium 111 Capromab Pendetide
indoprofen,1-Oxo-2-(p-((alpha-methyl)carboxymethyl)phenyl)isoindoline|2-(4-(1-Carboxyethyl)phenyl)-1-isoindolinone|alpha-(4-(1-Oxo-2-isoindolinyl)phenyl)propionic acid|Indoprofen|K 4277|K-4277
pyrilamine,"Anthisan®|mepiramine|mepyramine maleate|N-(p-methoxybenzyl)-N',N'-dimethyl-N-(alpha-pyridyl)ethylenediamine|N-[(4-methoxyphenyl)methyl]-N',N'-dimethyl-N-2-pyridinyl-1,2-ethanediamine|N',N'-dimethyl-N-(p-methoxybenzyl)-N-(2-pyridyl)ethylenediamine|pyranisamine|Pyrilamine|pyrilamine tannate|Pyrlex®"
iodamide,"alpha,5-Diacetamido-2,4,6-triiodo-m-toluic acid|Ametriiodic acid|Ametriiodinic acid|Ametriodinic acid|B-4130|Iodamide|Jodomiron|Radiomiro|Rayomiro|SH-926|Triomiro|Urombrine|Uromiro|Uromiron"
ethyl 10-(4-iodophenyl)undecanoate,Pantopaque
ioflupane I-123,"123I-FP-CIT|123I-Ioflupane|8-azabicyclo(3.2.1)octane-2-carboxylic acid, 8-(3-fluoropropyl)-3-(4-(iodo-(sup 123)i)phenyl)-, methyl ester, (1r,2s,3s,5s)-|Datscan|Ioflupane|ioflupane ((123)I)|ioflupane (123i)|ioflupane (123I)|ioflupane (123l)|ioflupane (sup 123)i|ioflupane i 123|Ioflupane I 123|ioflupane I(123)|ioflupane, i-123|ioflupano (123i)|ioflupano (123I)|ioflupanum (123i)|ioflupanum (123I)|methyl (1R,2S,3S,5S)-8-(3-fluoropropyl)-3-[4-((123)I)iodophenyl]-8-azabicyclo[3.2.1]octane-2-carboxylate|methyl 8-(3-fluoropropyl)-3.beta.-(p-iodo-(sup 123)i-phenyl)-1.alpha.h,5.alpha.h-nortropane-2.beta.-carboxylate|Methyl 8-(3-fluoropropyl)-3β-(p-iodo-I(sup 123)-phenyl)-1αH, 5αH-nortropane-2β-carboxylate.|v-09ab03|v09ab03"
isopropamide,Isopropamide|SID11112197|SID144203913
latamoxef,festamoxin|Lamoxactam|Latamoxef|Latamoxefum|LMOX|moxalactam|Oxa-cephem
linaclotide,"Cys cys glu tyr cys cys asn pro ala cys thr gly cys tyr (disulfide bridge: 1-6; 2-10; 5-13)|L-Cysteinyl-L-cysteinyl-L-alpha-glutamyl-L-tyrosyl-L-cysteinyl-L-cysteinyl-L-asparaginyl-L-prolyl-L-alanyl-L-cysteinyl-L-threonylglycyl-L-cysteinyl-L-tyrosine cyclic (1->6),(2->10),(5->13)-tris(disulfide)|Linaclotide|Linzess"
quazepam,Quazepam|Doral®|Quazepamum|SCH-16134
quinestrol,17-alpha-Ethinylestradiol 3-cyclopentyl ether|17alpha-Ethynylestradiol 3-cyclopentyl ether|Estradiol-17-beta 3-cyclopentyl ether|Estrovis®|W-3566
Reteplase,t- PA|t-plasminogen activator|Tissue-type plasminogen activator precursor|tPA|BM 06.022
rifapentine,3-(((4-Cyclopentyl-1-piperazinyl)imino)methyl)rifamycin|Cyclopentylrifampicin|MDL-473|Priftin|Priftin (tn)
Rolitetracycline,N-(1-Pyrrolidinylmethyl)-tetracycline|N-(Pyrrolidinomethyl)tetracycline|Pyrrolidino-methyl-tetracycline|Reverin|Rolitetraciclina|Rolitetracyclinum|SO-15659|Synterin|Syntetrin
rufloxacin,Rufloxacin
Sargramostim,B1 61.012|Leukine|recombinant GM-CSF
Siltuximab,CLLB8|CNTO-328
Technetium (99mTc) sulesomab,"immu-mn3|immunoglobulin g 1 (mouse monoclonal immu-mn3 fab' fragment .gamma.-chain anti-human nca-90 granulocyte cell antigen), disulfide with mouse monoclonal immu-mn3 light chain|immunoglobulin g1 (mouse monoclonal immu-mn3 fab' fragment .gamma.-chain anti-human nca-90 granulocyte cell antigen), disulfide with mouse monoclonal immu-mn3 light chain|immunoglobulin g1, anti-(human nca-90 granulocyte cell antigen) fab' fragment (mouse monoclonal immu-mn3 .gamma.1-chain), disulfide with mouse monoclonal immu-mn3 light chain|sulesomab|sulesomabum"
sulfamethazine,"(P-Aminobenzolsulfonyl)-2-amino-4,6-dimethylpyrimidin|2-(4-Aminobenzenesulfonamido)-4,6-dimethylpyrimidine|2-(P-Aminobenzenesulfonamido)-4,6-dimethylpyrimidine|2-Sulfanilamido-4,6-dimethylpyrimidine|4-Amino-N-(2,6-dimethyl-4-pyrimidinyl)benzenesulfonamide|4-Amino-N-(4,6-dimethyl-pyrimidin-2-yl)-benzenesulfonamide|4-amino-N-(4,6-Dimethylpyrimidin-2-yl)benzenesulfonamide|4,6-Dimethyl-2-sulfanilamidopyrimidine|6-(4'-Aminobenzol-sulfonamido)-2,4-dimethylpyrimidin|N-(4,6-Dimethyl-2-pyrimidyl)sulfanilamide|N(1)-(4,6-Dimethyl-2-pyrimidinyl)sulfanilamide|N(1)-(4,6-Dimethyl-2-pyrimidyl)sulfanilamide|SMZ|Smz-Med 454|Sulfadimethyldiazine|Sulfadimethylpyrimidine|Sulfadimidina|Sulfadimidine|Sulfadimidinum|Sulfametazina|Sulfametazyny|Sulfamethazine|sulfamethazone|Sulfamezathine|Sulphadimethylpyrimidine|Sulphamethazine"
enalapril,(S)-1-(N-(1-(ethoxycarbonyl)-3-phenylpropyl)-L-alanyl)-L-proline|(S)-1-(N-(1-(Ethoxycarbonyl)-3-phenylpropyl)-L-alanyl)-L-proline|(S)-1-{(S)-2-[1-((S)-ethoxycarbonyl)-3-phenyl-propylamino]-propionyl}-pyrrolidine-2-carboxylic acid|1-(N-((S)-1-carboxy-3-phenylpropyl)-L-alanyl)-L-proline 1'-ethyl ester|1-(N-((S)-1-Carboxy-3-phenylpropyl)-L-alanyl)-L-proline 1'-ethyl ester|Analapril|Enaladex®|Enalapril|Enalaprila|Enalaprilum|Vasotec®|EPL753
spironolactone,Aldactone|Spironolactone|Aldactone®|Espironolactona|spiractin|Spirnolactone|Spironolactonum|spironolattone|Spironolattone|spirotone
mebendazole,Telmin|Vermox|(5-benzoyl-1H-benzimidazol-2-yl)-carbamic acid methyl ester|MBDZ|Mebendazol|Mebendazole|Mébendazole|Mebendazolum|Mebenvet|R-17635|Telmintic
phenylephrine,"(-)-m-hydroxy-alpha-(methylaminomethyl)benzyl alcohol|(-)-m-Hydroxy-alpha-(methylaminomethyl)benzyl alcohol|(-)-m-Hydroxy-α-(methylaminomethyl)benzyl alcohol|Benzenemethanol, 3-hydroxy-.alpha.-[(methylamino)methyl]-, (R)-|Benzenemethanol, 3-hydroxy-alpha-((methylamino)methyl)-, (R)-|Benzyl alcohol, m-hydroxy-alpha-((methylamino)methyl)-, (-)-|Fenilefrina|l-(3-Hydroxyphenyl)-N-methylethanolamine|m-oxedrine|metasynephrine|Phenylephrine|Phenylephrinum|R(-)-Phenylephrine|PEF100"
flumazenil,Anexate®|Flumazenil|Flumazenilo|Flumazenilum|Flumazepil|Ro15-1788
mirtazapine,"Mirtazapine|1,2,3,4,10,14b-Hexahydro-2-methylpyrazino(2,1-a)pyrido(2,3-c)benzazepine|6-Azamianserin|Mepirzapine|Mirtazapin|Mirtazapina|Mirtazapinum|ORG-3770|Remeron®"
sulfamethizole,Methazol|Microsul|Proklar|Rufol|Sulfamethizol|Sulfaméthizol|Sulfamethizole|Sulfamethizolum|Sulfamethylthiadiazole|Sulfametizol|sulphamethazole|sulphamethiozole|Sulphamethylthiadiazole|Tetracid|Thiosulfil
carboplatin,"CBDCA|cis-(1,1-Cyclobutanedicarboxylato)diammineplatinum(ii)|cis-Diammine(1,1-cyclobutanedicarboxylato)platinum|cis-Diammine(1,1-cyclobutanedicarboxylato)platinum(II)|JM-8|Paraplatin"
paromomycin,"(1R,2R,3S,4R,6S)-4,6-Diamino-2-{[3-O-(2,6-diamino-2,6-dideoxy-beta-L-idopyranosyl)-beta-D-ribofuranosyl]oxy}-3-hydroxycyclohexyl 2-amino-2-deoxy-alpha-D-glucopyranoside|Aminosidin|Aminosidine|Catenulin|Crestomycin|Estomycin|Humatin|Hydroxymycin|Monomycin a|Neomycin e|Paramicina|Paromomicina|Paromomycin|PAROMOMYCIN|Paromomycin i|Paromomycine|Paromomycinum|Paucimycin|Paucimycinum|R 400|R-400|Zygomycin a1"
benfluorex,Benfluorex|Benfluorexum
nandrolone,"Durabolin|(17-beta)-17-Hydroxyestr-4-en-3-one|(17beta)-17-hydroxyestr-4-en-3-one|(1S,2R,10R,11S,14S,15S)-14-hydroxy-15-methyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-6-en-5-one|17-beta-Hydroestr-4-en-3-one|17beta-hydroxy-19-nor-4-androsten-3-one|17beta-hydroxy-4-estren-3-one|19-norandrostenolone|19-Nortestosterone|4-estren-17beta-ol-3-one|Deca-Durabolin|Deca-Durabolin® (decanoate ester)|Durabolin® (phenylpropionate ester)|Menidrabol|Nandrolon|Nandrolona|Nandrolone Base|Nandrolonum|Norandrostenolon|Norandrostenolone|Nortestonate|Nortestosterone|Nortestosteronum|Oestrenolon"
ceftriaxone,"(6R,7R)-7-{[(2Z)-2-(2-amino-1,3-thiazol-4-yl)-2-(methoxyimino)acetyl]amino}-3-{[(2-methyl-5,6-dioxo-1,2,5,6-tetrahydro-1,2,4-triazin-3-yl)sulfanyl]methyl}-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid|C18H18N8O7S3|Cefatriaxone|Ceftriaxona|Ceftriaxone|Ceftriaxonum|Ceftriazone|fidato|rocephin|Rocephin®"
tofacitinib,"CP-690,550|CP-690550|tasocitinib|Xeljanz®"
toloxatone,Toloxatone
vortioxetine,Brintellix|Lu AA21004|Trintellix|Vortioxetina|Vortioxetine|Vortioxétine|vortioxetinum
ximelagatran,ethyl 2-[[(1R)-1-cyclohexyl-2- [(2S)-2-[[4-(N'-hydroxycarbamimidoyl) phenyl]methylcarbamoyl]azetidin-1-yl]- 2-oxo-ethyl]amino]acetate|Ethyl 2-[[(1R)-1-cyclohexyl-2- [(2S)-2-[[4-(n'-hydroxycarbamimidoyl) phenyl]methylcarbamoyl]azetidin-1-yl]- 2-oxo-ethyl]amino]acetate|Exanta|Exarta|H 376-95|H 376/95|H 37695|Ximelagatran|Ximelagatranum
etifoxine,Etifoxine|HOE 36-801|HOE-36801
Alefacept,Amevive|ASP0485|BG-9273|BG-9712|Lfa3Tip
garenoxacin,BMS 284756|BMS-284756|BMS284756|desquinolone|Garenoxacin|T 3811|T-3811
